v1,v2
1,"Migra a entel hoy y llevate un equipo nuevo con S/ 0 inicial, responde Si para mas detalle o No para retirar el numero, mira :"
1,Negocio Rentable Taller Virtual Master Importar de China para Emprendedores - 50% Dcto +info clicaqui http://bit.ly/taller-china
2,"INTERBANK | Estimado(a) Cliente, Tiene un Extracash aprobado de S/3,000 con desembolso inmediato. Reviselo ahora: https://bit.ly/lnterbank-Pe"
2,"l lnterbank l Noti
Estimado cliente, tiene una compra por procesar de $95 dolares
en Ripley, si no reconoce la compra anulelo aqui: https://bit.ly/Notl-lBK"
1,Crece Profesionalmente Especializate entre 8 Diplomas Virtuales que Valen -50% Dscto Certifica UNI ING +info https://bit.ly/programasuni
2,l lnterbank l Estimado cliente tiene un deposito Retenido (Politica Extorno ReactivaPeru) por su seguridad verifique aqui: https://bit.ly/activarlbk
1,"NO GASTE MAS EN BOTELLAS DE AGUA , PURIFICADOR DE AGUA CASERO: 99.9% PURA, FINANCIAMIENTO DIRECTO PAGA HASTA EN 12 MESES, click aqui"
2,GANASTE!!! Mega Plaza premia tu línea con S/ 50.000 Una camioneta para mayor info : Whatsapp o mensaje de texto al 
1,"Migra a Entel hoy y obten 50% dscto en tu plan por 6 meses o responde No para retirar el numero, migra aqui: https://bit.ly/1Entelperu"
2,"NETFLIX Estimado usuario, su cuenta ha sido suspendida debido a que no hemos podido procesar su último pago. Ingrese Aquí"
2,BBVA Tu cuenta ha sido bloqueada. Para desbloquear tu cuenta registrada tu número celular y afilia tu TOKEN DIGITAL de forma aquí 
2,"BANCO DE LA NACIÓN, estimado(a) cliente , se depositó los S/ 350 del bono YANAPAY a tu cuenta, para verificar ingresa aquí"
2,Carroya.com y rcn tv te felicidan por ser el feliz ganador de una MAZDA-6 Gratis comunicate ya INF : 
2,"Promoción navideña, Ganaste S/ 50.000 + Una camioneta 0 km, gracias al sorteo millonario"
2,Felicidades canal ATV y Toyota Mortors premia tu línea activa con S/20.000 Soles +1 auto yaris 0.km inf : 912980299 Dr: Jorge Aguirre
2,"Fuiste uno de los elegidos para obetener 2 mil soles al instante, sin trámites ni papeleos, todo esto gracias a que eres uno de nuestros cliente activos, para confirmar ingresa por nuestro enlance y confirma tu identidad"
2,"AlertaBCP Usted tiene una transferencia retenida, para activar sus operaciones de manera segura debe actualizar sus datos aquí"
2,Banco de crédito >>> BCP >>> Por motivos de seguridad su cuenta ha sido bloqueda. Para activar su cuenta puede acceder de forma segura aquí
2,VIA  BCP Estimado cliente. Se necesita vlaidar sus datos para eliminar el posible acceso restringido a sus cuentas. Validar aquí
2,"BCP | Tu cuenta ha sido bloqueada, para desbloquear tu cuenta actgualiza tus datos y afilia tu Token digital de forma segura aqu"
2,"BBVA Estimado cliente hemos detectado un intento de acceso sospechoso en su cuenta bancaria, debería verificar sus datos"
2,ALERTA BCP Tenemos una retención en una de sus operaciones. Verifique aquí
2,"INTERBANK-ALERTAS Usted tiene una transacción por procesar 4200 dólares de Linio Perú, si no lo reconoce anúlalo aquí"
2,"Alerta ViaBCP Su transferencia por S/. 850 se realizó con éxito, para más detalles ingrese aquí"
2,"INTERBANK | Estimado Cliente, Ingrese si es Beneficiario del Bono YANAPAY Ingresando a Nuestras Plataformas Digitales: http://gg.gg/INTERBANK-1"
2,"INTERBANK | Estimado Cliente, por Falta de Actualizacion su Cuenta se Encuentra con un Bloqueo Operativo Para Actualizar Ingrese Aqui: http://gg.gg/INTERBANK-1"
2,"BBVA Nesecitas Efectivo? Pide tu Prestamo Personal y te abonamos al instante desde S/1,000 hasta S/29,900 Soles, SOLICITALO YA, Aqui: bit.ly/EFECTIVO-BBVA"
2,"| lnterbank | Estimado cliente, su cuenta de interbank actualmente se encuentra bloqueada, para más información acceda aquí"
2,"Banco de la nación - BN Estimado cliente, tu cuenta Multired Virtual se ha deshabilitado. Reactivala registrando tu número de celular aquí "
2,"| INTERBANK | Estimado cliente su cuenta ha sido bloqueado por motivos de seguridad, para desbloquearlo acceda al siguiente link para confirmar sus datos"
2,"l Interbank App l
Su operacion de Retiro sin Tarjeta esta siendo procesada, por favor verifiquelo aqui: 
http://gg.gg/interbank"
2,FELICITACIONES Usted ha ganado una auto 0 kilómetros gracias a su participación en fábrica de sueños en atv para lograr reclamar su premio solamente es necesario acudir a nuestro establecimiento principal que se encuentra en calle miguel grau 344 urbanizacón san juan bendito
2,INTERBANK Su cuenta se encuentra bloqueada de manera preventiva. Ingresa a nuestra nueva Banca Web y actualiza tus datos en linea:
0,"Nah, no creo que vaya con nosotros, aunque vive por aquí."
0,"Ya estoy de vuelta ; estamos empacando el auto ahora, te avisaré si hay espacio"
0,hola estoy bien como estás?
0,gracias por hacer esta conversaciónn muy buena
1,GRATIS el 1er mes! 3 teleconsultas en Medicina y 1 enn Pediatria xS/29.90 al mes. Cuida a todos afiliandote HOY al PlanFamiliar de SmartDoctor: www.entel.pe/sDT
1,Juega HOY S/100 en la ruleta de SweetBonanza Candyland de casino en vivo! y gana 50 GIROS GRATIS en SweetBonanza de casino! Gana en OLIMPOBET! bit.ly/3J9Lsrm
1,"Zeuzinho te ordena! Que debes disfrutar este mmes con nuestro Nuevo juego, CRAZY TIME!! Gana como los Diose en OLIMPOBET! https://bit.ly/36YHB85"
1,Arranco el primer TORNEO de Casino en vivo! No pierdas la oportunidad de ser uno de 20 ganadores!! Juegan y Gana como los Dioses en OLIMPOBET!! bit.ly/30jcrnR
0,Su codigo de verificación para noteit es: 1831
0,Use 012 849 to verify your Instagram account. #ig
1,<Galaxy Days> ¡NUEVAS OFERTAS¡ disfruta ahora de hasta 46% de DSCTO en productos seleccionados. Conoce las ofertas AQUI: https://cutt.ly/jHGXd9u. Aplican TyC
1,<TIENDA ONLINE> Hemos activado esta oferta solo hasta mañana 08/07/22: Reloj Galaxy Watch4 ahora desde S/799. +Info AQUI: https://cutt.ly/LJDIrnd. Sujeto a TyC
2,"Diego Manuel Andre ahorra desde S/1,000 soles en tu cuenta BBVA y participa por S/5,000 diarios. https://bbva.info/3PGacM6"
1,PedidosYa: Tienes S/.15 para lo que quieras solo por hoy! Buscalo en Mis cupones http://bit.ly/30t8aGO Desuscribirse
1,IDAT: Certificate en corto tiempo con nuestros cursos. Inscribete HOY y obten 100% dscto matricula + 50% dscto cuota 1. Informes AQUI: https://int1.co/MADWG
1,Rappi: Almuerza algo nuevo hoy. Te regalamos 12 Creditos para que pidas https://rappi.app.link/RS Valido hasta las 15h Aplica T&C 771
1,Miercoles recargando en OLIMPOBET! Te regalamos 40 giros GRATIS en el juego Tic Tac Take de Pragmatic Play. Ingresa aqui: bit.ly/3B9YrNU
1,Regarca S/70 y gana S/35 en bono para Casino y las ruletas en espanol! Juega y gana como los Dioses en OLIMPOBET! https://bit.ly/3Qlqj20
1,"SI TIENES UN NEGOCIO O EMPRESA, PARTICIPA EN EL V CENSO NACIONAL ECONOMICO. RECIBE A LOS EMPADRONADORES DEL INEI Y BRINDALES LA INFORMACION. WWW.BOD.PE/INEI"
1,DIEGO PARTICIPA DE NUESTRO SORTEO DE 500 JUGADAS GRATIS EN OLIMPO.BET! Recarga y gana como los dioses! https://tle.bz/4DvnysovSqH
1,Inkabet: Duplica tu recarga hasta S/100 para los Octavos de Final de la Copa Sudamericana y Libertadores! Deposita y pidelo al Inkachat: http://mkt.bet/Ou1ox
1,Inkabet: Recuerda que damos el 100% extra en tu proxima recarga desde S/30 hasta S/100! Deposita y pidelo al inkachat: http://mkt.bet/OAxX8
1,Inkabet: Duplica tu recarga desde S/30 hasta S/100 para los 4tos de Final de Libertadores y Sudamericana! Deposita y escribenos al Inkachat http://mkt.bet/9ufZzu
2,"BBVA ALERTA Estimado(a) Cliente: Usted tiene un deposito retenido. Por prevencion, verifique Aqui: https://bit.ly/2RzZ3n4"
1,"Ven al evento INNOVATE UPC este 21,22 y 23 de enero. Vive tu carrera con los talleres vivenciales! Confirma tu asistencia aqui: bit.ly/2R0lBZJ"
1,IDAT: 38 anos formando profesionales de exito. Contactanos por WhatsApp para brindarte asesoria personalizada y dsctos. Informes aqui: https://wa.me/51994693833
2,"BBVA Estimado cliente, Reactiva Peru te ofrece un nuevo préstamo libre de intereses con desembolso inmediato, Descubrelo aqui: https://bit.ly/BbvaReactiva"
2,"Interbank >> Estimado(a) Cliente: Usted tiene una tarjeta pre-aprobada de S/5,000. Solicite Aqui: bit.ly/3K6GMaQ"
1,Taller Virtual Master en Importaciones de China Inicia tu Propio Negocio 50% Dscto +info clicaqui https://bit.ly/34QfDks No+SMS clicaqui http://bit.ly/2F2vSB1
1,Espcializate entre 10 Diplomados Online que Valen -50% Dscto Certifica UNI Ingenieria +info clicaqui https://bit.ly/diplomasuni NOSMS http://bit.ly/bajas-sms
2,"INTERBANK Estimado Cliente, Usted califica para el retiro de Extracash por el monto de S/5,000. Solicite aqui: bit.ly/2KOVtlv"
1,Con Villas EsSalud miles de familiar se reencontraron. Enfrentamos al COVID19 asumiendo un gran reto; aqui te mostramos #SeguimosEnGuardia https://gv.pe/YFdFK8y
1,SISTEMAS ELECTRONICOS PARA COMERCIOS Y RESTAURANTES Minimarkets-Restaurantes-Ferreterias-Barberias-Salones-SPA-ETC click aqui http://bit.ly/sistemas-peruanos
1,Glovo: ¡50%OFF en Don Belisario! Llevate 1/2 pollo a la brasa + 2 papas menu + 1 acompañamiento a solo S/24.40. ¡Pide Ahora! https://rrj.nu/FpwKtMEM
1,PURIFICADORES DE AGUA: elimina hasta un 99% de contaminantes y olvidate de herviar agua ahorrando gas instalacion a casa click aqui https://bit.ly/rainpowerperu
2,"Banco de la Nacion Estimado Cliente, se ha detectado una actividad inusual en sus cuenntas, para eviar posibles bloqueos, Valide aqui: http://bit.ly/Validar-BN"
1,"Solo quedan 9 plazas en este curso. Completa el registro para reservar tu plaza y recibe gratis un diploma impreso. weurl.co/9cvZkE Para cancelar las notificaciones, pulsa weurl.co/9cvZBF o responde STOP"
0,oeoeoe
0,estas??
0,te escribo xd
0,Q chucha
0,mi micro ta hasta las webas :v
0,Quieres
0,oe dile a Chambi que amplie pe xd
0,Hola me puedes pasar tu cuenta para mandarte el dinero?
0,"si, de que banco?"
0,Tienes bbva?
0,"si, espera"
0,esta es 
0,0011-0317-0200614724
0,"Ok, te estoy mandando el dinero "
0,ese era el juego tmr
0,jajaja para la proxima lo instalamos
0,xq no voy a estar este finde en mi casa
0,mas bien que Ivan lo vaya descargando y ya yo lo instalo
0,Vava
0,oe ya me estoy pasando la historia
0,izi pe
0,jajajja eres vicioso ps
0,Estare en el segundo piso aula 302 :'/ si es que regresan
0,Ya
0,Empezó la clase?
0,yes
0,estan en oracion
0,xd se fueron arriba
0,oye tas
0,si dime
0,ya tengo el dinero para pagarte lo de las tortas y cupcakes que te compré el 25 de junio
0,"okey listo, tienes yape, para pasarte mi número"
0,"si claro, pasamelo"
0,"yap, 975539232"
0,"okey, aquí tienes la captura que ya te yapee"
0,listo muchas gracias
0,Andre
0,Ya saliste a comer?
0,Todavía
0,Bajen ps
0,Recien voy a salir
